XYDATA McStas simulated data for BEER at ESS on duplex sample
  ...
  ...
  ...
INTER   1.0   1.0   0  0
TEMP  300.0
   3889.080        1        1
   3890.952        1        1
   3892.824        1        1
   3894.696        1        1
   3896.568        1        1
   3898.440        1        1
   3900.312        1        1
   3902.184        1        1
   3904.056        1        1
   3905.928        1        1
   3907.800        1        1
   3909.672        1        1
   3911.544        1        1
   3913.416        1        1
   3915.288        1        1
   3917.160        1        1
   3919.032        1        1
   3920.904        1        1
   3922.776        1        1
   3924.648        1        1
   3926.520        1        1
   3928.392        1        1
   3930.264        1        1
   3932.136        1        1
   3934.008        1        1
   3935.880        1        1
   3937.752        1        1
   3939.624        1        1
   3941.496        1        1
   3943.368        1        1
   3945.240        1        1
   3947.112        1        1
   3948.984        1        1
   3950.856        1        1
   3952.728        1        1
   3954.600        1        1
   3956.472        1        1
   3958.344        1        1
   3960.216        1        1
   3962.088        1        1
   3963.960        1        1
   3965.832        1        1
   3967.704        1        1
   3969.576        1        1
   3971.448        1        1
   3973.320        1        1
   3975.192        1        1
   3977.064        1        1
   3978.936        1        1
   3980.808        1        1
   3982.680        1        1
   3984.552        1        1
   3986.424        1        1
   3988.296        1        1
   3990.168        1        1
   3992.040        1        1
   3993.912        1        1
   3995.784        1        1
   3997.656        1        1
   3999.528        1        1
   4001.400        1        1
   4003.272        1        1
   4005.144        1        1
   4007.016        1        1
   4008.888        1        1
   4010.760        1        1
   4012.632        1        1
   4014.504        1        1
   4016.376        1        1
   4018.248        1        1
   4020.120        1        1
   4021.992        1        1
   4023.864        1        1
   4025.736        1        1
   4027.608        1        1
   4029.480        1        1
   4031.352        1        1
   4033.224        1        1
   4035.096        1        1
   4036.968        1        1
   4038.840        1        1
   4040.712        1        1
   4042.584        1        1
   4044.456        1        1
   4046.328        1        1
   4048.200        1        1
   4050.072        1        1
   4051.944        1        1
   4053.816        1        1
   4055.688        1        1
   4057.560        1        1
   4059.432        1        1
   4061.304        1        1
   4063.176        1        1
   4065.048        1        1
   4066.920        1        1
   4068.792        1        1
   4070.664        1        1
   4072.536        1        1
   4074.408        1        1
   4076.280        1        1
   4078.152        1        1
   4080.024        1        1
   4081.896        1        1
   4083.768        1        1
   4085.640        1        1
   4087.512        1        1
   4089.384        1        1
   4091.256        1        1
   4093.128        1        1
   4095.000        1        1
   4096.872        1        1
   4098.744        1        1
   4100.616        1        1
   4102.488        1        1
   4104.360        1        1
   4106.232        1        1
   4108.104        1        1
   4109.976        1        1
   4111.848        1        1
   4113.720        1        1
   4115.592        1        1
   4117.464        1        1
   4119.336        6        7
   4121.208        1        1
   4123.080        5        6
   4124.952       17        8
   4126.824       84       24
   4128.696      111       28
   4130.568      132       29
   4132.440      152       26
   4134.312      247       40
   4136.184      213       33
   4138.056      227       38
